title,link,thumbnail,description,view,uploadedd_time,channel,channel_url
Fan PROPOSES to Maria Sakkari! 💍,https://www.youtube.com/shorts/OIibXW2JS3A,,The moment a fan proposed to Maria Sakkari in her match with Stefanos Tsitsipas against Katarina Zavatska and Matteo Berrettini in the Tennis Plays for Peace event ahead of the 2022 US Open....,53M views,3 weeks ago,BAKORI TV,https://www.youtube.com/@real_BAKORITV
Bella Shmurda & Tiwa Savage - NSV,https://www.youtube.com/watch?v=2XogcUkV0Rs,,"►STREAM & DOWNLOAD https://onerpm.lnk.to/NSV

►FOLLOW BELLA SHMURDA 
http://instagram.com/bella_shmurda
https://facebook.com/bellashmurda01
https://twitter.com/fineboybella...",363K views,2 days ago,BAKORI TV,https://www.youtube.com/@real_BAKORITV
HIGHBINDERS - Hollywood English Movie | Jackie Chan Blockbuster Fantasy Action Full Movie In English,https://www.youtube.com/watch?v=9757s5yGxII,,"Presenting Hollywood English Movie Full Action HD (Hollywood Movie English, Jackie Chan Action Movies, Jackie Chan Comedy Movies, Jackie Chan Fantasy Movies, Jackie Chan Adventure Movies, English...",3M views,8 days ago,Zinariya Hausa TV,https://www.youtube.com/@ZinariyaHausaTV
See What Happens When a Mom with Dwarfism Gets a Haircut! #shorts,https://www.youtube.com/shorts/ubl_tRsjD9M,,,69M views,2 weeks ago,Zinariya Hausa TV,https://www.youtube.com/@ZinariyaHausaTV
PRAY,https://www.youtube.com/watch?v=bH4UDgIzQgE,,"Provided to YouTube by EMPIRE Distribution

PRAY · BNXN fka Buju

PRAY

℗ 2023 T.Y.E. / EMPIRE

Released on: 2023-05-10

Producer: Magicsticks
Composer: Magicsticks
Lyricist: Daniel Benson...",94K views,8 days ago,AyoAjewole Woliagba-YPM,https://www.youtube.com/@Woliagba
EXTRACTION 2 | Official Trailer | Netflix,https://www.youtube.com/watch?v=Y274jZs5s7s,,"PREPARE FOR THE RIDE OF YOUR LIFE. Chris Hemsworth is Tyler Rake in EXTRACTION 2 - only on Netflix, June 16.

Hemsworth reunites with director Sam Hargrave, with Joe and Anthony Russo's AGBO...",8.2M views,3 days ago,AyoAjewole Woliagba-YPM,https://www.youtube.com/@Woliagba
"Apapa embarrassed by Obidients, stopped from speaking to Journalists in court",https://www.youtube.com/watch?v=Azyc7RFu5ag,,"Apapa embarrassed by Obidients, stopped from speaking to Journalists in court",77K views,2 days ago,FeelrightNews TV,https://www.youtube.com/@FeelrightNewsTVFeelrightNewsTV
What just happened? 🤣,https://www.youtube.com/shorts/_2cMfUTJSks,,"Simon Cowell's expression says it all! 
» Get The America's Got Talent App: http://bit.ly/AGTAppDownload
» Subscribe for More: http://bit.ly/AGTSub
» Watch on NBC & Peacock: https://pck.tv/3cCQG...",7M views,10 days ago,FeelrightNews TV,https://www.youtube.com/@FeelrightNewsTVFeelrightNewsTV
أفكار ولقطات فنية مذهلة باستعمال المصغرات #SHORTS,https://www.youtube.com/shorts/K7QHzcgvfck,,محتوى هذا الفيديو لأغراض ترفيهية بحتة. لا نقدم أي ضمانات حول الشمولية والسلامة والموثوقية. جميع الإجراءات...,71M views,2 weeks ago,HIPTV,https://www.youtube.com/@Official_HipTV
Wande Coal - Ebelebe (Official Audio) (feat. Wizkid),https://www.youtube.com/watch?v=h_oymYWKgI0,,"Listen to the album “Legend Or No Legend"". Out Now!
Stream: https://music.empi.re/legendornolegend



#WandeCoal #LegendOrNoLegend #EMPIRE









Official Audio by Wande Coal - ""Legend...",68K views,1 day ago,HIPTV,https://www.youtube.com/@Official_HipTV
